Date,Open,High,Low,Close,Adj Close,Volume
2021-02-18,94.720001,94.879997,92.080002,93.040001,92.74736,6106825
2021-02-19,93.760002,96.239998,93.440002,96.160004,95.857529,7631125
2021-02-22,96.559998,101.599998,96.239998,100.0,99.685455,12079538
2021-02-23,100.800003,101.199997,97.440002,100.720001,100.403198,9005313
2021-02-24,102.400002,106.800003,101.199997,104.959999,104.629852,13348875
2021-02-25,104.800003,106.160004,101.279999,102.080002,101.758926,11542163
2021-02-26,101.440002,102.720001,99.279999,100.32,100.00444,11091225
2021-03-01,103.360001,106.32,102.32,104.879997,104.550102,9754700
2021-03-02,105.199997,106.0,103.760002,103.839996,103.513382,9650675
2021-03-03,104.720001,108.959999,104.400002,107.519997,107.181793,14696538
2021-03-04,111.040001,113.040001,105.440002,108.559998,108.218529,20820213
2021-03-05,110.400002,110.480003,105.120003,108.800003,108.537766,13121938
2021-03-08,113.68,114.720001,110.480003,113.360001,113.086769,17964700
2021-03-09,112.800003,115.360001,110.639999,112.0,111.730042,14308463
2021-03-10,109.199997,109.919998,103.360001,106.0,105.744507,27528800
2021-03-11,101.519997,102.879997,95.599998,98.160004,97.923409,38225663
2021-03-12,97.919998,100.959999,97.839996,100.639999,100.397423,16818988
2021-03-15,101.919998,106.879997,101.839996,106.800003,106.542587,13925313
2021-03-16,106.639999,106.800003,104.559998,105.199997,104.946426,9307025
2021-03-17,105.599998,108.879997,105.040001,108.879997,108.617561,9903388
2021-03-18,108.720001,109.519997,105.519997,106.0,105.744507,7970138
2021-03-19,105.599998,106.800003,103.839996,105.760002,105.505081,8559000
2021-03-22,105.279999,105.919998,103.440002,105.040001,104.786827,6598638
2021-03-23,103.68,105.440002,100.400002,101.279999,101.035881,8206888
2021-03-24,102.080002,104.160004,100.0,100.0,99.758972,7759188
2021-03-25,99.199997,103.440002,97.839996,102.800003,102.552231,9173988
2021-03-26,103.599998,105.040001,101.68,103.919998,103.669518,7565588
2021-03-29,103.360001,104.400002,102.239998,103.599998,103.350288,6720363
2021-03-30,103.839996,106.879997,103.199997,106.400002,106.143539,6615638
2021-03-31,107.040001,107.440002,105.040001,105.040001,104.786827,7823250
2021-04-01,105.839996,106.879997,105.199997,106.239998,105.983925,7397975
2021-04-05,107.760002,108.559998,106.959999,107.68,107.420456,6342363
2021-04-06,107.68,108.0,106.959999,107.199997,106.941612,5006525
2021-04-07,107.199997,108.239998,106.080002,107.120003,106.861809,5220675
2021-04-08,106.080002,108.0,104.720001,107.599998,107.340645,6864875
2021-04-09,108.0,110.639999,107.360001,108.800003,108.537766,7905750
2021-04-12,108.879997,109.440002,107.760002,108.720001,108.457954,5259625
2021-04-13,108.080002,108.32,106.080002,107.519997,107.260834,6402975
2021-04-14,107.440002,110.32,107.360001,109.440002,109.176216,8079875
2021-04-15,109.839996,110.0,107.519997,108.400002,108.138718,6360225
2021-04-16,109.040001,109.440002,106.800003,107.120003,106.861809,6253050
2021-04-19,106.559998,107.760002,105.360001,107.68,107.420456,5609475
2021-04-20,107.279999,107.279999,103.199997,104.480003,104.228172,7682088
2021-04-21,103.440002,107.040001,102.160004,106.800003,106.542587,6201013
2021-04-22,106.800003,109.440002,106.239998,107.279999,107.021423,6575975
2021-04-23,108.0,108.879997,106.879997,108.400002,108.138718,5829763
2021-04-26,109.040001,112.0,108.400002,108.559998,108.298332,11722363
2021-04-27,108.0,108.32,103.279999,107.919998,107.659874,18721875
2021-04-28,106.639999,106.800003,105.199997,105.599998,105.345467,8261925
2021-04-29,105.440002,106.32,104.639999,105.68,105.425278,6894700
2021-04-30,105.279999,106.800003,104.639999,104.959999,104.707016,6237438
2021-05-03,105.919998,108.239998,105.360001,107.599998,107.340645,7934063
2021-05-04,106.720001,107.120003,104.559998,104.959999,104.707016,9692275
2021-05-05,105.279999,106.32,104.720001,105.68,105.425278,6958038
2021-05-06,105.760002,106.480003,104.239998,105.68,105.425278,7847150
2021-05-07,105.279999,106.720001,104.559998,106.400002,106.143539,6735088
2021-05-10,106.480003,108.639999,106.400002,106.800003,106.542587,8195250
2021-05-11,105.519997,106.32,103.519997,104.720001,104.46759,8501525
2021-05-12,104.639999,105.040001,102.160004,102.559998,102.312798,8856213
2021-05-13,102.400002,104.32,101.760002,103.760002,103.509903,8197850
2021-05-14,104.959999,106.400002,104.239998,106.080002,105.82431,6334675
2021-05-17,105.839996,106.720001,104.959999,105.199997,104.946426,9542238
2021-05-18,105.440002,106.160004,103.760002,103.760002,103.509903,6115788
2021-05-19,103.199997,104.800003,102.32,104.720001,104.46759,7427025
2021-05-20,104.720001,104.879997,103.360001,104.480003,104.228172,5809338
2021-05-21,104.879997,106.239998,104.400002,105.839996,105.584885,6665013
2021-05-24,106.32,106.480003,104.959999,105.440002,105.18586,4876600
2021-05-25,105.599998,106.32,104.800003,104.959999,104.707016,5916213
2021-05-26,104.959999,107.440002,104.32,107.199997,106.941612,7533713
2021-05-27,108.800003,115.199997,108.720001,114.800003,114.523308,23073575
2021-05-28,114.32,114.720001,112.239998,112.480003,112.208893,9071488
2021-06-01,113.839996,114.720001,112.800003,113.199997,112.927147,6284613
2021-06-02,113.440002,113.440002,112.080002,112.720001,112.448311,4992100
2021-06-03,111.919998,114.959999,111.519997,112.720001,112.448311,7895475
2021-06-04,113.279999,113.599998,110.879997,111.68,111.410812,8008900
2021-06-07,112.0,112.559998,110.879997,111.279999,111.01178,4668638
2021-06-08,111.760002,111.919998,109.760002,111.199997,110.931969,5515250
2021-06-09,110.160004,110.480003,109.360001,109.839996,109.575241,6970963
2021-06-10,110.480003,110.959999,108.720001,109.040001,108.777184,6229850
2021-06-11,109.199997,110.239998,108.559998,109.519997,109.25602,5295663
2021-06-14,110.239998,110.639999,107.279999,107.760002,107.500267,5678225
2021-06-15,107.599998,108.559998,106.480003,108.32,108.058914,4753238
2021-06-16,108.0,109.199997,106.32,107.519997,107.260834,8766413
2021-06-17,107.279999,108.080002,103.279999,104.0,103.749329,9626675
2021-06-18,102.720001,104.160004,102.0,102.239998,101.993568,10258088
2021-06-21,103.120003,105.519997,102.879997,105.519997,105.265663,6744263
2021-06-22,104.959999,105.599998,103.519997,104.239998,103.988739,4783575
2021-06-23,104.160004,105.519997,103.519997,103.599998,103.350288,5459688
2021-06-24,104.480003,105.599998,103.360001,105.199997,104.946426,5977550
2021-06-25,105.279999,105.919998,104.800003,105.279999,105.106163,4264450
2021-06-28,105.279999,105.360001,102.32,103.120003,102.949738,7723450
2021-06-29,104.480003,105.839996,103.68,104.720001,104.547089,8649650
2021-06-30,105.199997,108.239998,104.400002,107.68,107.502205,8568975
2021-07-01,108.639999,109.040001,106.879997,107.839996,107.661942,5836638
2021-07-02,108.32,108.32,106.480003,106.879997,106.703522,4144988
2021-07-06,106.239998,106.559998,102.559998,103.360001,103.189339,8829850
2021-07-07,103.040001,104.639999,101.919998,103.839996,103.668541,7632563
2021-07-08,101.839996,103.519997,100.879997,102.959999,102.789993,6727850
2021-07-09,104.080002,105.519997,103.519997,105.279999,105.106163,5165288
2021-07-12,104.480003,105.120003,103.199997,104.879997,104.706825,6969838
2021-07-13,104.720001,104.720001,103.040001,103.120003,102.949738,4926450
2021-07-14,103.040001,103.839996,101.760002,102.480003,102.310791,5588738
2021-07-15,101.519997,103.360001,100.559998,102.080002,101.911453,6423850
2021-07-16,102.400002,102.959999,100.160004,100.400002,100.23423,5695475
2021-07-19,97.519997,97.919998,94.559998,96.0,95.841492,12362150
2021-07-20,96.080002,101.919998,95.919998,101.599998,101.432243,9390363
2021-07-21,102.32,104.879997,102.160004,104.639999,104.467224,8440725
2021-07-22,104.400002,104.480003,101.599998,101.599998,101.432243,5427875
2021-07-23,102.400002,103.040001,101.040001,101.68,101.512115,4722413
2021-07-26,101.279999,103.519997,101.040001,103.360001,103.189339,6728613
2021-07-27,106.639999,107.760002,102.400002,104.639999,104.467224,14930538
2021-07-28,105.199997,107.839996,104.32,105.040001,104.86657,8571038
2021-07-29,105.519997,107.040001,104.720001,106.32,106.144447,6784563
2021-07-30,105.279999,105.760002,103.360001,103.599998,103.42894,7507838
2021-08-02,104.480003,107.209999,100.43,100.599998,100.433891,24885500
2021-08-03,100.199997,103.199997,98.110001,103.059998,102.889832,14440000
2021-08-04,101.809998,103.449997,101.459999,102.910004,102.740082,14144300
2021-08-05,103.0,104.639999,102.519997,103.019997,102.849892,8130800
2021-08-06,103.360001,105.260002,103.360001,104.519997,104.34742,10984300
2021-08-09,103.559998,104.269997,102.029999,103.709999,103.538757,7954700
2021-08-10,103.809998,106.330002,103.199997,106.080002,105.904846,8056100
2021-08-11,106.209999,106.209999,103.82,106.040001,105.864914,8305100
2021-08-12,106.190002,107.230003,105.239998,106.519997,106.344116,6398700
2021-08-13,106.5,106.620003,104.580002,104.919998,104.746758,5617100
2021-08-16,104.230003,104.300003,102.239998,103.349998,103.179352,6916200
2021-08-17,102.540001,103.269997,100.360001,101.620003,101.452217,8177400
2021-08-18,101.080002,103.470001,100.760002,101.410004,101.242561,6496500
2021-08-19,100.0,100.82,98.599998,99.419998,99.255844,10805700
2021-08-20,99.589996,100.669998,99.099998,100.050003,99.884804,6355700
2021-08-23,100.599998,101.480003,100.269997,100.970001,100.803284,6007400
2021-08-24,101.290001,103.510002,101.059998,103.269997,103.099487,6857700
2021-08-25,103.360001,105.129997,102.550003,104.699997,104.527122,7867100
2021-08-26,104.459999,104.620003,102.839996,103.379997,103.209305,8166500
2021-08-27,103.900002,106.150002,103.900002,106.089996,105.914825,7766400
2021-08-30,106.330002,106.459999,104.800003,105.190002,105.016312,7145700
2021-08-31,104.940002,106.360001,104.459999,105.410004,105.235954,10990800
2021-09-01,105.360001,105.470001,103.260002,103.660004,103.488846,7968100
2021-09-02,104.0,106.339996,103.980003,106.260002,106.084557,8493700
2021-09-03,106.0,107.360001,104.080002,104.75,104.577042,7616900
2021-09-07,104.5,104.940002,102.309998,103.290001,103.119453,10989500
2021-09-08,102.949997,104.730003,100.419998,102.580002,102.410629,12001300
2021-09-09,102.360001,104.919998,102.110001,103.290001,103.119453,9386500
2021-09-10,103.290001,103.949997,101.779999,102.0,101.831581,9555200
2021-09-13,102.650002,104.860001,102.019997,104.459999,104.287521,12484200
2021-09-14,104.540001,104.550003,100.07,100.379997,100.214256,16022600
2021-09-15,100.790001,102.470001,100.690002,102.160004,101.991325,8103700
2021-09-16,102.389999,102.699997,100.82,101.339996,101.172668,5981900
2021-09-17,101.150002,101.860001,100.129997,100.470001,100.304115,10718000
2021-09-20,98.5,99.870003,97.269997,99.809998,99.645195,10103800
2021-09-21,99.900002,99.989998,96.209999,96.82,96.660133,15788600
2021-09-22,97.669998,99.029999,97.660004,98.540001,98.377296,11216100
2021-09-23,99.529999,104.080002,99.519997,102.959999,102.789993,11601100
2021-09-24,102.660004,104.199997,102.599998,103.800003,103.709198,6559500
2021-09-27,104.550003,106.330002,104.389999,105.349998,105.257835,8081500
2021-09-28,105.290001,106.75,104.730003,105.730003,105.637512,12551700
2021-09-29,106.0,107.0,105.309998,106.279999,106.187027,7399200
2021-09-30,106.360001,107.089996,102.949997,103.029999,102.939865,8944200
2021-10-01,104.18,106.389999,103.669998,105.82,105.727425,8094500
2021-10-04,105.400002,107.080002,104.599998,104.900002,104.808235,7656200
2021-10-05,105.059998,106.0,103.75,104.900002,104.808235,5737200
2021-10-06,103.68,104.419998,102.059998,104.330002,104.238731,7013900
2021-10-07,104.839996,106.529999,104.330002,105.510002,105.417702,6656500
2021-10-08,105.370003,106.220001,104.660004,104.720001,104.628387,4272100
2021-10-11,104.839996,105.760002,103.970001,104.080002,103.988953,4121800
2021-10-12,103.559998,104.040001,101.559998,102.720001,102.630142,8549600
2021-10-13,102.199997,103.199997,101.18,102.360001,102.270454,7517000
2021-10-14,103.139999,103.650002,102.370003,102.739998,102.650116,6139100
2021-10-15,103.650002,105.900002,103.190002,104.410004,104.318665,5647200
2021-10-18,103.68,104.57,103.040001,104.120003,104.028915,4145500
2021-10-19,104.580002,104.970001,103.580002,104.730003,104.638382,4216400
2021-10-20,104.75,106.019997,103.870003,106.0,105.907272,6107900
2021-10-21,105.760002,106.389999,103.010002,103.150002,103.059761,7219600
2021-10-22,103.050003,104.510002,102.550003,104.050003,103.958977,5355000
2021-10-25,103.639999,105.989998,103.330002,105.300003,105.207886,6496200
2021-10-26,105.760002,110.970001,105.220001,107.440002,107.346008,11701000
2021-10-27,107.879997,108.279999,103.690002,103.849998,103.759148,8984300
2021-10-28,103.389999,105.379997,103.099998,105.260002,105.167915,5910800
2021-10-29,104.949997,105.239998,104.120003,104.870003,104.778259,5617100
2021-11-01,105.760002,106.769997,105.279999,106.230003,106.13707,4887100
2021-11-02,106.339996,107.139999,105.300003,106.690002,106.596664,4480800
2021-11-03,106.160004,106.339996,104.82,105.970001,105.877296,4111700
2021-11-04,105.870003,106.400002,104.290001,105.209999,105.117958,4675800
2021-11-05,106.93,109.650002,106.849998,108.739998,108.644867,7600000
2021-11-08,109.400002,110.309998,108.32,108.419998,108.32515,5174500
2021-11-09,114.730003,116.169998,110.480003,111.290001,111.192642,25123700
2021-11-10,112.5,112.68,108.110001,108.959999,108.864677,8692600
2021-11-11,108.550003,109.599998,106.779999,107.0,106.906395,5512800
2021-11-12,107.400002,107.93,106.459999,107.589996,107.495872,7621900
2021-11-15,108.029999,108.669998,106.199997,106.669998,106.576683,6124900
2021-11-16,106.150002,106.209999,102.82,103.349998,103.259583,11997700
2021-11-17,103.699997,103.879997,101.419998,101.989998,101.900772,8307600
2021-11-18,101.43,101.800003,99.18,100.669998,100.581932,8530900
2021-11-19,99.800003,100.739998,99.300003,99.959999,99.872551,6603300
2021-11-22,100.470001,101.970001,100.279999,101.040001,100.951607,6206600
2021-11-23,101.779999,102.209999,101.150002,102.080002,101.9907,6011400
2021-11-24,101.860001,102.32,101.309998,102.230003,102.140572,5572100
2021-11-26,96.660004,98.099998,95.510002,97.839996,97.754402,8607600
2021-11-29,99.269997,100.43,96.830002,98.400002,98.313919,9776600
2021-11-30,96.639999,97.43,94.470001,94.989998,94.906898,11409400
2021-12-01,96.550003,96.889999,92.940002,93.0,92.91864,8657100
2021-12-02,94.199997,95.779999,92.809998,95.230003,95.146698,6094600
2021-12-03,95.129997,95.349998,91.730003,92.769997,92.688843,8079800
2021-12-06,93.849998,96.889999,93.239998,96.010002,95.92601,6679900
2021-12-07,96.599998,98.330002,96.300003,97.550003,97.464668,5049000
2021-12-08,97.550003,98.940002,96.980003,98.279999,98.194023,4756800
2021-12-09,97.769997,98.190002,97.0,97.830002,97.744415,4066700
2021-12-10,98.089996,98.559998,96.449997,96.949997,96.865181,4274600
2021-12-13,95.970001,96.400002,92.82,93.129997,93.048523,7378600
2021-12-14,92.75,94.059998,91.720001,92.110001,92.029419,7260800
2021-12-15,92.220001,92.410004,90.18,92.080002,91.999451,7694500
2021-12-16,92.519997,94.339996,92.199997,92.529999,92.449051,7127400
2021-12-17,92.449997,93.07,90.110001,91.449997,91.369995,9065000
2021-12-20,90.0,90.099998,88.169998,89.980003,89.980003,6013200
2021-12-21,90.720001,93.669998,90.720001,93.059998,93.059998,7617700
2021-12-22,92.919998,93.709999,92.160004,93.07,93.07,4663900
2021-12-23,93.300003,94.540001,93.300003,94.0,94.0,3885500
2021-12-27,93.629997,94.669998,93.449997,94.620003,94.620003,3428900
2021-12-28,94.43,96.080002,94.239998,95.300003,95.300003,4051900
2021-12-29,95.0,95.480003,94.440002,94.790001,94.790001,3490500
2021-12-30,94.660004,95.980003,94.529999,94.699997,94.699997,3269000
2021-12-31,94.5,94.970001,93.900002,94.470001,94.470001,3793500
